smiles,HOMO (eV),Bandgap (eV),Mw (kg/mol),PCE_ave,value,index
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(C4=C5C(=O)N(CCCCCCCC)C(c6ccc(C)s6)=C5C(=O)N4CCCCCCCC)s3)cc21,0.3,-0.71,-0.19,3.2,3.2,50
CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(C4=C5C(=O)N(CCCCCCCCCC)C(c6ccc(C)s6)=C5C(=O)N4CCCCCCCCCC)s3)cc21,0.3,-0.66,-0.24,3.8,3.8,51
CCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)-c4ccc(C)cc4[Ge]5(CCCC)CCCC)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(C)s1,0.21,-0.42,-0.38,1.5,1.5,52
CCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)[Ge](CCCCCCCC)(CCCCCCCC)c4cc(C)ccc4-5)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(C)s1,0.21,-0.37,-0.29,1.2,1.2,53
CCCCCCCC[Ge]1(CCCCCCCC)c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc2-c2ccc(C)cc21,0.21,0.36,-0.47,2.8,2.8,54
CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)cc21,0.39,-0.42,0.51,2.26,2.26,55
CCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)C(CCCCCCCC)(CCCCCCCC)c4cc(C)ccc4-5)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(C)s1,0.08,0.17,-0.45,0.88,0.88,56
CCCCC(CC)CC(C[C@H](CC)CCCC)n1c2cc(C)sc2c2sc(-c3ccc(C4=C5C(=O)N(C[C@H](CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4C[C@H](CC)CCCC)s3)cc21,-1.42,-2.85,-0.54,1.12,1.12,57
CCCCC(CC)CC(C[C@H](CC)CCCC)n1c2cc(C)sc2c2sc(-c3ccc(C4=C5C(=O)N(CCCC)C(c6ccc(C)s6)=C5C(=O)N4CCCC)s3)cc21,-1.97,-2.85,-0.37,2.71,2.71,58
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(C)s1,-1.33,-2.08,-0.42,2.1,2.1,59
CCCCCCCCOc1c2cc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)sc2c(OCCCCCCCC)c2cc(C)sc12,-0.79,-1.98,-0.5,2.53,2.53,60
CCCCCC(CC)c1c(C(CC)CCCCC)c2cc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)sc2c2sc(C)cc12,-0.56,-1.83,-0.3,4.31,4.31,61
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4sc(-c5cc(-c6ccc(C[C@H](CC)CCCC)s6)c(C)s5)cc4-c4ccc(C[C@@H](CC)CCCC)s4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(C)s1,-0.74,-2.08,-0.51,2.43,2.43,62
CCCCC(CC)Cc1ccc(-c2cc(-c3cc(-c4ccc(C[C@@H](CC)CCCC)s4)c(-c4ccc(C)c5nsnc45)s3)sc2C)s1,0.85,0.8,-0.5,1.39,1.39,63
CCCCC(CC)Cc1ccc(-c2cc(-c3cc(-c4ccc(C[C@@H](CC)CCCC)s4)c(-c4ccc(-c5ccc(-c6ccc(C)s6)c6nsnc56)s4)s3)sc2C)s1,-1.33,-0.56,-0.46,1.28,1.28,64
CCCCC(CC)COc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5sc(-c6cc(-c7ccc(CC(CC)CCCC)s7)c(C)s6)cc5-c5ccc(C[C@@H](CC)CCCC)s5)s4)c3nc2-c2ccc(OCC(CC)CCCC)cc2)cc1,-0.24,0.56,-0.45,1.29,1.29,65
CCCCCCCCC1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)cc21,-1.74,-1.98,-0.37,2.27,2.27,66
CCCCCCCCCCCCOC(=O)c1cc2c(C)sc(-c3cc4c(OCCCCCCCC)c5sc(C)cc5c(OCCCCCCCC)c4s3)c2s1,-1.97,-0.66,-0.48,5.6,5.6,67
CCCCC(CC)COc1c2cc(-c3sc(C)c4sc(C(=O)C(CC)CCCC)cc34)sc2c(OCC(CC)CCCC)c2cc(C)sc12,-0.97,-0.52,-0.43,6.58,6.58,68
CCCCCCCCC(CCCCCC)COc1c2sc3cc(-c4sc(C)c5sc(C(=O)CC(CC)CCCC)cc45)sc3c2c(OCC(CCCCCC)CCCCCCCC)c2sc3cc(C)sc3c12,-0.83,-0.61,0.28,3.64,3.64,69
C#CC#CC#CC#CC#CC(CCCCCCCC)CN1C(=O)c2c(C)sc(-c3cc4c(OCCCCCCCCCCCC)c5sc(C)cc5c(OCCCCCCCCCCCC)c4s3)c2C1=O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0.39,0.6,0.48,3.42,3.42,70
C#CC#CC#CC#CC#CC(CCCCCCCC)CN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2C1=O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0.48,0.6,3.66,4.79,4.79,71
CCCCCCCCCCCCOc1cc(-c2cc(OCCCCCCCCCCCC)c(-c3sc(C)c4c3C(=O)N(CCCCCCCCCCCC)C4=O)s2)sc1C,-2.19,-1.05,0,1.44,1.44,72
CCCCCCCCCCCCOc1cc(-c2cc(OCCCCCCCCCCCC)c(-c3sc(C)c4c3C(=O)N(CC(CCCC)CCCCCC)C4=O)s2)sc1C,-1.29,-1.05,0.14,0.57,0.57,73
CCCCCCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3C4(CCCCCCCC)CCCCCCCC)c2C1=O,-0.33,-0.22,1.51,3.06,3.06,74
CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c2C1=O,1.07,-0.13,-0.32,7.3,7.3,75
C/C=C/c1cc2c(OCCCCCCCCCCCC)c3sc(C)cc3c(OCCCCCCCCCCCC)c2s1,-1.2,1.53,0.41,0.25,0.25,76
CCCCCCCCCCCCOc1c2cc(-c3ccc(C)s3)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,-1.29,1.68,-0.04,1.6,1.6,77
CCCCCCCCCCCCOc1c2cc(-c3sc(C)c4c3OCCO4)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,-3.51,1.24,-0.25,0.36,0.36,78
CCCCCCCCCCCCOc1c2cc(-c3ccc(C)c4nc(-c5ccccc5)c(-c5ccccc5)nc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,-2.51,-0.42,-0.36,0.23,0.23,79
CCCCCCCCCCCCOc1c2cc(-c3ccc(C)c4nsnc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,-1.06,-0.08,-0.42,0.9,0.9,80
CCCCCCCCCCCCOc1c2cc(-c3sc(C)c4nccnc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,-3.1,-3.24,-0.1,0.11,0.11,81
CCCCCCCCCCCCOc1c2cc(-c3ccc(C)c4n[se]nc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,-2.06,-0.95,-0.39,0.18,0.18,82
CCCCCCc1cc(-c2c3cc(-c4ccc(C)c5nsnc45)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(C)sc23)sc1CC(CC)CCCC,0.53,0.17,2.71,9.15,9.15,83
CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2C1=O,1.03,0.41,-0.4,5.5,5.5,84
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,-0.47,0.41,-0.55,6.67,6.67,85
CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,-1.29,0.07,-0.25,8.55,8.55,86
CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,-3.06,-0.37,0.86,5.63,5.63,87
CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,-2.15,-0.27,-0.48,6.25,6.25,88
CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,-1.88,-0.17,-0.18,7.39,7.39,89
CCCCCCCCC(CCCCCC)CS(=O)(=O)c1cc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2s1,-0.2,-0.52,4.26,5.93,5.93,90
CCCCCCCCC(CCCCCC)CS(=O)(=O)c1cc2c(C)sc(-c3cc4sc5c(-c6ccc(C[C@H](CC)CCCC)s6)c6c(sc7cc(C)sc76)c(-c6ccc(C[C@@H](CC)CCCC)s6)c5c4s3)c2s1,-0.56,-0.61,0.17,7.79,7.79,91
CCCCCCCCC(CCCCCC)CS(=O)(=O)c1cc2c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc(C[C@@H](CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(C[C@H](CC)CCCC)s6)c5s4)s3)c2s1,-1.33,-0.61,0.25,7.48,7.48,92
CCCCCCCCC(CCCCCC)COc1c2cc(-c3ccc(C)c4nsnc34)sc2c(OCC(CCCCCC)CCCCCCCC)c2cc(C)sc12,-0.51,-0.22,0.8,1.71,1.71,93
CCCCC(CC)COc1c2cc(-c3sc(-c4ccc(-c5cc(CC(CC)CCCC)c(C)s5)c5nsnc45)cc3CC(CC)CCCC)sc2c(OCC(CC)CCCC)c2cc(C)sc12,-0.42,0.02,1.89,7.4,7.4,94
CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(OC[C@@H](CC)CCCC)c6sc(C)cc6c(OC[C@@H](CC)CCCC)c5s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1,-0.2,-1.3,0.07,2.83,2.83,95
CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(-c6ccc(C[C@@H](CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(C[C@@H](CC)CCCC)s6)c5s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1,-0.2,-1.3,-0.21,4.23,4.23,96
CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3cc4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1cc2sc(C)cc2s1,-1.29,-1.39,-0.3,6.18,6.18,97
CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(CC(CCCC)CCCCCC)c7sc(C)cc7c(CC(CCCC)CCCCCC)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,3.03,0.26,1.29,5.3,5.3,98
CCCCCCCCOc1ccc(-c2nc3c(-c4cc5sc(C)cc5s4)c(F)c(F)c(-c4cc5sc(-c6cc7c(CC(CCCC)CCCCCC)c8sc(C)cc8c(CC(CCCC)CCCCCC)c7s6)cc5s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,2.57,-0.03,-0.34,5.29,5.29,99
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2c(-c3ccc(-c4ccc(C)s4)s3)sc(-c3ccc(-c4ccc(-c5cc6c(OCC(CC)CCCC)c7sc(C)cc7c(OCC(CC)CCCC)c6s5)s4)s3)c2C1=O,0.26,0.6,-0.58,3.3,3.3,100
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2c(-c3cc4sc(C)cc4s3)sc(-c3cc4sc(-c5cc6c(OCC(CC)CCCC)c7sc(C)cc7c(OCC(CC)CCCC)c6s5)cc4s3)c2C1=O,0.62,0.51,-0.01,5.55,5.55,101
CCCCCCc1c(C)sc2cc(-c3sc(-c4cc5sc(-c6cc7c(OCC(CC)CCCC)c8sc(C)cc8c(OCC(CC)CCCC)c7s6)c(CCCCCC)c5s4)c4c3C(=O)N(CC(CCCC)CCCCCC)C4=O)sc12,0.39,0.85,0.56,5.77,5.77,102
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2c(-c3cc4sc(C)c(CCCCCC)c4s3)sc(-c3cc4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)c(CCCCCC)c4s3)c2C1=O,0.21,0.65,-0.28,7.71,7.71,103
CCCCCCCCCCCCOC(=O)c1cc2c(C)sc(-c3cc4c(OCCCCCCCC)c5sc(C)cc5c(OCCCCCCCC)c4s3)c2s1,-1.97,-0.66,-0.48,4.76,4.76,104
CCCCCCCCOc1c2cc(-c3sc(C)c4cc(C(=O)OCC(CC)CCCC)sc34)sc2c(OCCCCCCCC)c2cc(C)sc12,-1.79,-0.61,-0.48,5.1,5.1,105
CCCCCCCCOC(=O)c1cc2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2s1,-1.47,-0.47,-0.48,3.02,3.02,106
CCCCCCC(CCCC)COC(=O)c1cc2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2s1,-1.47,-0.52,-0.47,2.26,2.26,107
CCCCCCCCc1c2cc(-c3sc(C)c4cc(C(=O)OCC(CC)CCCC)sc34)sc2c(CCCCCCCC)c2cc(C)sc12,-1.33,-0.42,-0.48,5.53,5.53,108
CCCCCCCCOc1c2cc(-c3sc(C)c4c(F)c(C(=O)OCC(CC)CCCC)sc34)sc2c(OCCCCCCCC)c2cc(C)sc12,-0.97,-0.42,-0.51,5.9,5.9,109
CCCCCCCCSc1ccc(-c2c3cc(-c4sc(C)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)sc3c(-c3ccc(SCCCCCCCC)s3)c3cc(C)sc23)s1,-0.2,-0.56,0.07,9.52,9.52,110
